id,alcohol,cigarette,marijuana,sex
1600,yes,yes,High,Male
1601,yes,yes,High,Male
1602,yes,yes,High,Male
1603,yes,yes,High,Male
1604,yes,yes,High,Male
1605,yes,yes,High,Male
1606,yes,yes,High,Male
1607,yes,yes,High,Male
1608,yes,yes,High,Male
1609,yes,yes,High,Male
1610,yes,yes,High,Male
1611,yes,yes,High,Male
1612,yes,yes,High,Male
1613,yes,yes,High,Male
1614,yes,yes,High,Male
1615,yes,yes,High,Male
1616,yes,yes,High,Male
1617,yes,yes,High,Male
1618,yes,yes,High,Male
1619,yes,yes,High,Male
1620,yes,yes,High,Male
1621,yes,yes,High,Male
1622,yes,yes,High,Male
1623,yes,yes,High,Male
1624,yes,yes,High,Male
1625,yes,yes,High,Male
1626,yes,yes,High,Male
1627,yes,yes,High,Male
1628,yes,yes,High,Male
1629,yes,yes,High,Male
1630,yes,yes,High,Male
1631,yes,yes,High,Male
1632,yes,yes,High,Male
1633,yes,yes,High,Male
1634,yes,yes,High,Male
1635,yes,yes,High,Male
1636,yes,yes,High,Male
1637,yes,yes,High,Male
1638,yes,yes,High,Male
1639,yes,yes,High,Male
1640,yes,yes,High,Male
1641,yes,yes,High,Male
1642,yes,yes,High,Male
1643,yes,yes,High,Male
1644,yes,yes,High,Male
1645,yes,yes,High,Male
2017,yes,no,No/Low,Female
2018,yes,no,No/Low,Female
2019,yes,no,No/Low,Female
2020,yes,no,No/Low,Female
2021,yes,no,No/Low,Female
2022,yes,no,No/Low,Female
2023,yes,no,No/Low,Female
2024,yes,no,No/Low,Female
2025,yes,no,No/Low,Female
2026,yes,no,No/Low,Female
2027,yes,no,No/Low,Female
2028,yes,no,No/Low,Female
2029,yes,no,No/Low,Female
2030,yes,no,No/Low,Female
2031,yes,no,No/Low,Female
2032,yes,no,No/Low,Female
2033,yes,no,No/Low,Female
2034,yes,no,No/Low,Female
2035,yes,no,No/Low,Female
2036,yes,no,No/Low,Female
2037,yes,no,No/Low,Female
2038,yes,no,No/Low,Female
2039,yes,no,No/Low,Female
2040,yes,no,No/Low,Female
2041,yes,no,No/Low,Female
2042,yes,no,No/Low,Female
2043,yes,no,No/Low,Female
2044,yes,no,No/Low,Female
2045,yes,no,No/Low,Female
2046,yes,no,No/Low,Female
2047,yes,no,No/Low,Female
2048,yes,no,No/Low,Female
2049,yes,no,No/Low,Female
2050,yes,no,No/Low,Female
2051,yes,no,No/Low,Female
2052,yes,no,No/Low,Female
2053,yes,no,No/Low,Female
2054,yes,no,No/Low,Female
2055,yes,no,No/Low,Female
2056,yes,no,No/Low,Female
2057,yes,no,No/Low,Female
2058,yes,no,No/Low,Female
2059,yes,no,No/Low,Female
2060,yes,no,No/Low,Female
2061,yes,no,No/Low,Female
2062,yes,no,No/Low,Female
2063,yes,no,No/Low,Female
2064,yes,no,No/Low,Female
2065,yes,no,No/Low,Female
2066,yes,no,No/Low,Female
2067,yes,no,No/Low,Female
2068,yes,no,No/Low,Female
2069,yes,no,No/Low,Female
2070,yes,no,No/Low,Female
2071,yes,no,No/Low,Female
2072,yes,no,No/Low,Female
2073,yes,no,No/Low,Female
2074,yes,no,No/Low,Female
2075,yes,no,No/Low,Female
2076,yes,no,No/Low,Female
2077,yes,no,No/Low,Female
2078,yes,no,No/Low,Female
2079,yes,no,No/Low,Female
2080,yes,no,No/Low,Female
2081,yes,no,No/Low,Female
2082,yes,no,No/Low,Female
2083,yes,no,No/Low,Female
2084,yes,no,No/Low,Female
2085,yes,no,No/Low,Female
2086,yes,no,No/Low,Female
2087,yes,no,No/Low,Female
2088,yes,no,No/Low,Female
2089,yes,no,No/Low,Female
2090,yes,no,No/Low,Female
2091,yes,no,No/Low,Female
2092,yes,no,No/Low,Female
2093,yes,no,No/Low,Female
2094,yes,no,No/Low,Female
2095,yes,no,No/Low,Female
2096,yes,no,No/Low,Female
2097,yes,no,No/Low,Female
2098,yes,no,No/Low,Female
2099,yes,no,No/Low,Female
2100,yes,no,No/Low,Female
2101,yes,no,No/Low,Female
2102,yes,no,No/Low,Female
2103,yes,no,No/Low,Female
2104,yes,no,No/Low,Female
2105,yes,no,No/Low,Female
2106,yes,no,No/Low,Female
2107,yes,no,No/Low,Female
2108,yes,no,No/Low,Female
2109,yes,no,No/Low,Female
2110,yes,no,No/Low,Female
2111,yes,no,No/Low,Female
2112,yes,no,No/Low,Female
2113,yes,no,No/Low,Female
2114,yes,no,No/Low,Female
2115,yes,no,No/Low,Female
2116,yes,no,No/Low,Female
2117,yes,no,No/Low,Female
2118,yes,no,No/Low,Female
2119,yes,no,No/Low,Female
2120,yes,no,No/Low,Female
2121,yes,no,No/Low,Female
2122,yes,no,No/Low,Female
2123,yes,no,No/Low,Female
2124,yes,no,No/Low,Female
2125,yes,no,No/Low,Female
2126,yes,no,No/Low,Female
2127,yes,no,No/Low,Female
2128,yes,no,No/Low,Female
2129,yes,no,No/Low,Female
2130,yes,no,No/Low,Female
2131,yes,no,No/Low,Female
2132,yes,no,No/Low,Female
2133,yes,no,No/Low,Female
2134,yes,no,No/Low,Female
2135,yes,no,No/Low,Female
2136,yes,no,No/Low,Female
2137,yes,no,No/Low,Female
2138,yes,no,No/Low,Female
2139,yes,no,No/Low,Female
2140,yes,no,No/Low,Female
2141,yes,no,No/Low,Female
2142,yes,no,No/Low,Female
2143,yes,no,No/Low,Female
2144,yes,no,No/Low,Female
2145,yes,no,No/Low,Female
2146,yes,no,No/Low,Female
2147,yes,no,No/Low,Female
2148,yes,no,No/Low,Female
2149,yes,no,No/Low,Female
2150,yes,no,No/Low,Female
2151,yes,no,No/Low,Female
2152,yes,no,No/Low,Female
2153,yes,no,No/Low,Female
2154,yes,no,No/Low,Female
2155,yes,no,No/Low,Female
2156,yes,no,No/Low,Female
2157,yes,no,No/Low,Female
2158,yes,no,No/Low,Female
2159,yes,no,No/Low,Female
2160,yes,no,No/Low,Female
2161,yes,no,No/Low,Female
2162,yes,no,No/Low,Female
2163,yes,no,No/Low,Female
2164,yes,no,No/Low,Female
2165,yes,no,No/Low,Female
2166,yes,no,No/Low,Female
2167,yes,no,No/Low,Female
2168,yes,no,No/Low,Female
2169,yes,no,No/Low,Female
2170,yes,no,No/Low,Female
2171,yes,no,No/Low,Female
2172,yes,no,No/Low,Female
2173,yes,no,No/Low,Female
2174,yes,no,No/Low,Female
2175,yes,no,No/Low,Female
2176,yes,no,No/Low,Female
2177,yes,no,No/Low,Female
2178,yes,no,No/Low,Female
2179,yes,no,No/Low,Female
2180,yes,no,No/Low,Female
2181,yes,no,No/Low,Female
2182,yes,no,No/Low,Female
2183,yes,no,No/Low,Female
2184,yes,no,No/Low,Female
2185,yes,no,No/Low,Female
2186,yes,no,No/Low,Female
2187,yes,no,No/Low,Female
2188,yes,no,No/Low,Female
2189,yes,no,No/Low,Female
2190,yes,no,No/Low,Female
2191,yes,no,No/Low,Female
2192,yes,no,No/Low,Female
2193,yes,no,No/Low,Female
2194,yes,no,No/Low,Female
2195,yes,no,No/Low,Female
2196,yes,no,No/Low,Female
2197,yes,no,No/Low,Female
2198,yes,no,No/Low,Female
2199,yes,no,No/Low,Female
2200,yes,no,No/Low,Female
2201,yes,no,No/Low,Female
2202,yes,no,No/Low,Female
2203,yes,no,No/Low,Female
2204,yes,no,No/Low,Female
2205,yes,no,No/Low,Female
2206,yes,no,No/Low,Female
2207,yes,no,No/Low,Female
2208,yes,no,No/Low,Female
2209,yes,no,No/Low,Female
2210,yes,no,No/Low,Female
2211,yes,no,No/Low,Female
2212,yes,no,No/Low,Female
2213,yes,no,No/Low,Female
2214,yes,no,No/Low,Female
2215,yes,no,No/Low,Female
2216,yes,no,No/Low,Female
2217,yes,no,No/Low,Female
2218,yes,no,No/Low,Female
2219,yes,no,No/Low,Female
2220,yes,no,No/Low,Female
2221,yes,no,No/Low,Female
2222,yes,no,No/Low,Female
2223,yes,no,No/Low,Female
2224,yes,no,No/Low,Female
2225,yes,no,No/Low,Female
2226,yes,no,No/Low,Female
2227,yes,no,No/Low,Female
2228,yes,no,No/Low,Female
2229,yes,no,No/Low,Female
2230,yes,no,No/Low,Female
2231,yes,no,No/Low,Female
2232,yes,no,No/Low,Female
2233,yes,no,No/Low,Female
2234,yes,no,No/Low,Female
2235,yes,no,No/Low,Female
2236,yes,no,No/Low,Female
2237,yes,no,No/Low,Female
2238,yes,no,No/Low,Female
2239,yes,no,No/Low,Female
2240,yes,no,No/Low,Female
2241,yes,no,No/Low,Female
2242,yes,no,No/Low,Female
2243,yes,no,No/Low,Female
2244,yes,no,No/Low,Female
2245,yes,no,No/Low,Female
2246,yes,no,No/Low,Female
2247,yes,no,No/Low,Female
2248,yes,no,No/Low,Female
2249,yes,no,No/Low,Female
2250,yes,no,No/Low,Female
2251,yes,no,No/Low,Female
2252,yes,no,No/Low,Female
2253,yes,no,No/Low,Female
2254,yes,no,No/Low,Female
2255,yes,no,No/Low,Female
2256,yes,no,No/Low,Female
2257,yes,no,No/Low,Female
2258,yes,no,No/Low,Female
2259,yes,no,No/Low,Female
2260,yes,no,No/Low,Female
2261,yes,no,No/Low,Female
2262,yes,no,No/Low,Female
2263,yes,no,No/Low,Female
2264,yes,no,No/Low,Female
2265,yes,no,No/Low,Female
2266,yes,no,No/Low,Female
2267,yes,no,No/Low,Female
2268,yes,no,No/Low,Female
2269,yes,no,No/Low,Female
2270,yes,no,No/Low,Female
2271,yes,no,No/Low,Female
2272,yes,no,No/Low,Female
2273,yes,no,No/Low,Female
2274,yes,no,No/Low,Female
2275,yes,no,No/Low,Female
2276,yes,no,No/Low,Female
2277,yes,no,No/Low,Female
2278,yes,no,No/Low,Female
2279,yes,no,No/Low,Female
2280,yes,no,No/Low,Female
2281,yes,no,No/Low,Female
2282,yes,no,No/Low,Female
2283,yes,no,No/Low,Female
2284,yes,no,No/Low,Female
2285,yes,no,No/Low,Female
2286,yes,no,No/Low,Female
2287,yes,no,No/Low,Female
2288,yes,no,No/Low,Female
2289,yes,no,No/Low,Female
2290,yes,no,No/Low,Female
2291,yes,no,No/Low,Female
2405,yes,no,Medium,Female
2406,yes,no,Medium,Female
2407,yes,no,Medium,Female
2408,yes,no,Medium,Female
2409,yes,no,Medium,Female
2410,yes,no,Medium,Female
2411,yes,no,Medium,Female
2412,yes,no,Medium,Female
2413,yes,no,Medium,Female
2414,yes,no,Medium,Female
2415,yes,no,Medium,Female
2416,yes,no,Medium,Female
2417,yes,no,Medium,Female
2418,yes,no,Medium,Female
2419,yes,no,Medium,Female
2420,yes,no,Medium,Female
2421,yes,no,Medium,Female
2422,yes,no,Medium,Female
2423,yes,no,Medium,Female
2424,yes,no,Medium,Female
2425,yes,no,Medium,Female
2426,yes,no,Medium,Female
2427,yes,no,Medium,Female
2428,yes,no,Medium,Female
2429,yes,no,Medium,Female
2430,yes,no,Medium,Female
2431,yes,no,Medium,Female
2432,yes,no,Medium,Female
2433,yes,no,Medium,Female
2434,yes,no,Medium,Female
2435,yes,no,Medium,Female
2436,yes,no,Medium,Female
2437,yes,no,Medium,Female
2438,yes,no,Medium,Female
2439,yes,no,Medium,Female
2440,yes,no,Medium,Female
2441,yes,no,Medium,Female
2442,yes,no,Medium,Female
2443,yes,no,Medium,Female
2444,yes,no,Medium,Female
2445,yes,no,Medium,Female
2446,yes,no,Medium,Female
2447,yes,no,Medium,Female
2448,yes,no,Medium,Female
2449,yes,no,Medium,Female
2450,yes,no,Medium,Female
2451,yes,no,Medium,Female
2452,yes,no,Medium,Female
2453,yes,no,Medium,Female
2454,yes,no,Medium,Female
2455,yes,no,Medium,Female
2456,yes,no,Medium,Female
2457,yes,no,Medium,Female
2458,yes,no,Medium,Female
2459,yes,no,Medium,Female
2460,yes,no,Medium,Female
2461,yes,no,Medium,Female
2462,yes,no,Medium,Female
2463,yes,no,Medium,Female
2464,yes,no,Medium,Female
2465,yes,no,Medium,Female
2466,yes,no,Medium,Female
2467,yes,no,Medium,Female
2468,yes,no,Medium,Female
2469,yes,no,Medium,Female
2470,yes,no,Medium,Female
2471,yes,no,Medium,Female
2472,yes,no,Medium,Female
2473,yes,no,Medium,Female
2474,yes,no,Medium,Female
2475,yes,no,Medium,Female
2476,yes,no,Medium,Female
2788,yes,no,High,Female
2789,yes,no,High,Female
2790,yes,no,High,Female
2791,yes,no,High,Female
2792,yes,no,High,Female
2793,yes,no,High,Female
2794,yes,no,High,Female
2795,yes,no,High,Female
2796,yes,no,High,Female
2797,yes,no,High,Female
2798,yes,no,High,Female
2799,yes,no,High,Female
2800,yes,no,High,Female
2801,yes,no,High,Female
2802,yes,no,High,Female
2803,yes,no,High,Female
2804,yes,no,High,Female
2805,yes,no,High,Female
2901,yes,no,No/Low,Male
2902,yes,no,No/Low,Male
2903,yes,no,No/Low,Male
2904,yes,no,No/Low,Male
2905,yes,no,No/Low,Male
2906,yes,no,No/Low,Male
2907,yes,no,No/Low,Male
2908,yes,no,No/Low,Male
2909,yes,no,No/Low,Male
2910,yes,no,No/Low,Male
2911,yes,no,No/Low,Male
2912,yes,no,No/Low,Male
2913,yes,no,No/Low,Male
2914,yes,no,No/Low,Male
2915,yes,no,No/Low,Male
2916,yes,no,No/Low,Male
2917,yes,no,No/Low,Male
2918,yes,no,No/Low,Male
2919,yes,no,No/Low,Male
2920,yes,no,No/Low,Male
2921,yes,no,No/Low,Male
2922,yes,no,No/Low,Male
2923,yes,no,No/Low,Male
2924,yes,no,No/Low,Male
2925,yes,no,No/Low,Male
2926,yes,no,No/Low,Male
2927,yes,no,No/Low,Male
2928,yes,no,No/Low,Male
2929,yes,no,No/Low,Male
2930,yes,no,No/Low,Male
2931,yes,no,No/Low,Male
2932,yes,no,No/Low,Male
2933,yes,no,No/Low,Male
2934,yes,no,No/Low,Male
2935,yes,no,No/Low,Male
2936,yes,no,No/Low,Male
2937,yes,no,No/Low,Male
2938,yes,no,No/Low,Male
2939,yes,no,No/Low,Male
2940,yes,no,No/Low,Male
2941,yes,no,No/Low,Male
2942,yes,no,No/Low,Male
2943,yes,no,No/Low,Male
2944,yes,no,No/Low,Male
2945,yes,no,No/Low,Male
2946,yes,no,No/Low,Male
2947,yes,no,No/Low,Male
2948,yes,no,No/Low,Male
2949,yes,no,No/Low,Male
2950,yes,no,No/Low,Male
2951,yes,no,No/Low,Male
2952,yes,no,No/Low,Male
2953,yes,no,No/Low,Male
2954,yes,no,No/Low,Male
2955,yes,no,No/Low,Male
2956,yes,no,No/Low,Male
2957,yes,no,No/Low,Male
2958,yes,no,No/Low,Male
2959,yes,no,No/Low,Male
2960,yes,no,No/Low,Male
2961,yes,no,No/Low,Male
2962,yes,no,No/Low,Male
2963,yes,no,No/Low,Male
2964,yes,no,No/Low,Male
2965,yes,no,No/Low,Male
2966,yes,no,No/Low,Male
2967,yes,no,No/Low,Male
2968,yes,no,No/Low,Male
2969,yes,no,No/Low,Male
2970,yes,no,No/Low,Male
2971,yes,no,No/Low,Male
2972,yes,no,No/Low,Male
2973,yes,no,No/Low,Male
2974,yes,no,No/Low,Male
2975,yes,no,No/Low,Male
2976,yes,no,No/Low,Male
2977,yes,no,No/Low,Male
2978,yes,no,No/Low,Male
2979,yes,no,No/Low,Male
2980,yes,no,No/Low,Male
2981,yes,no,No/Low,Male
2982,yes,no,No/Low,Male
2983,yes,no,No/Low,Male
2984,yes,no,No/Low,Male
2985,yes,no,No/Low,Male
2986,yes,no,No/Low,Male
2987,yes,no,No/Low,Male
2988,yes,no,No/Low,Male
2989,yes,no,No/Low,Male
2990,yes,no,No/Low,Male
2991,yes,no,No/Low,Male
2992,yes,no,No/Low,Male
2993,yes,no,No/Low,Male
2994,yes,no,No/Low,Male
2995,yes,no,No/Low,Male
2996,yes,no,No/Low,Male
2997,yes,no,No/Low,Male
2998,yes,no,No/Low,Male
2999,yes,no,No/Low,Male
3000,yes,no,No/Low,Male
3001,yes,no,No/Low,Male
3002,yes,no,No/Low,Male
3003,yes,no,No/Low,Male
3004,yes,no,No/Low,Male
3005,yes,no,No/Low,Male
3006,yes,no,No/Low,Male
3007,yes,no,No/Low,Male
3008,yes,no,No/Low,Male
3009,yes,no,No/Low,Male
3010,yes,no,No/Low,Male
3011,yes,no,No/Low,Male
3012,yes,no,No/Low,Male
3013,yes,no,No/Low,Male
3014,yes,no,No/Low,Male
3015,yes,no,No/Low,Male
3016,yes,no,No/Low,Male
3017,yes,no,No/Low,Male
3018,yes,no,No/Low,Male
3019,yes,no,No/Low,Male
3020,yes,no,No/Low,Male
3021,yes,no,No/Low,Male
3022,yes,no,No/Low,Male
3023,yes,no,No/Low,Male
3024,yes,no,No/Low,Male
3025,yes,no,No/Low,Male
3026,yes,no,No/Low,Male
3027,yes,no,No/Low,Male
3028,yes,no,No/Low,Male
3029,yes,no,No/Low,Male
3030,yes,no,No/Low,Male
3031,yes,no,No/Low,Male
3032,yes,no,No/Low,Male
3033,yes,no,No/Low,Male
3034,yes,no,No/Low,Male
3035,yes,no,No/Low,Male
3036,yes,no,No/Low,Male
3037,yes,no,No/Low,Male
3038,yes,no,No/Low,Male
3011,yes,no,Medium,Male
3012,yes,no,Medium,Male
3013,yes,no,Medium,Male
3014,yes,no,Medium,Male
3015,yes,no,Medium,Male
3016,yes,no,Medium,Male
3017,yes,no,Medium,Male
3018,yes,no,Medium,Male
3019,yes,no,Medium,Male
3020,yes,no,Medium,Male
3021,yes,no,Medium,Male
3022,yes,no,Medium,Male
3023,yes,no,Medium,Male
3024,yes,no,Medium,Male
3025,yes,no,Medium,Male
3026,yes,no,Medium,Male
3027,yes,no,Medium,Male
3028,yes,no,Medium,Male
3029,yes,no,Medium,Male
3030,yes,no,Medium,Male
3031,yes,no,Medium,Male
3032,yes,no,Medium,Male
3033,yes,no,Medium,Male
3034,yes,no,Medium,Male
3035,yes,no,Medium,Male
3036,yes,no,Medium,Male
3037,yes,no,Medium,Male
3038,yes,no,Medium,Male
3039,yes,no,Medium,Male
3040,yes,no,Medium,Male
3041,yes,no,Medium,Male
3042,yes,no,Medium,Male
3043,yes,no,Medium,Male
3044,yes,no,Medium,Male
3045,yes,no,Medium,Male
3046,yes,no,Medium,Male
3047,yes,no,Medium,Male
3048,yes,no,Medium,Male
3049,yes,no,Medium,Male
3050,yes,no,Medium,Male
3051,yes,no,Medium,Male
3052,yes,no,Medium,Male
3053,yes,no,Medium,Male
3054,yes,no,Medium,Male
3055,yes,no,Medium,Male
3056,yes,no,Medium,Male
3057,yes,no,Medium,Male
3058,yes,no,Medium,Male
3059,yes,no,Medium,Male
3060,yes,no,Medium,Male
3061,yes,no,Medium,Male
3062,yes,no,Medium,Male
3063,yes,no,Medium,Male
3064,yes,no,Medium,Male
3065,yes,no,Medium,Male
3066,yes,no,Medium,Male
3067,yes,no,Medium,Male
3068,yes,no,Medium,Male
3069,yes,no,Medium,Male
3070,yes,no,Medium,Male
3071,yes,no,Medium,Male
3072,yes,no,Medium,Male
3073,yes,no,Medium,Male
3074,yes,no,Medium,Male
3075,yes,no,Medium,Male
3076,yes,no,Medium,Male
3077,yes,no,Medium,Male
3078,yes,no,Medium,Male
3079,yes,no,Medium,Male
3080,yes,no,Medium,Male
3081,yes,no,Medium,Male
3082,yes,no,Medium,Male
3083,yes,no,Medium,Male
3084,yes,no,Medium,Male
3085,yes,no,Medium,Male
3086,yes,no,Medium,Male
3087,yes,no,Medium,Male
3088,yes,no,Medium,Male
3089,yes,no,Medium,Male
3090,yes,no,Medium,Male
3091,yes,no,Medium,Male
3092,yes,no,Medium,Male
3093,yes,no,Medium,Male
3094,yes,no,Medium,Male
3095,yes,no,Medium,Male
3096,yes,no,Medium,Male
3097,yes,no,Medium,Male
3098,yes,no,Medium,Male
3099,yes,no,Medium,Male
3100,yes,no,Medium,Male
3101,yes,no,Medium,Male
3102,yes,no,Medium,Male
3103,yes,no,Medium,Male
3104,yes,no,Medium,Male
3105,yes,no,Medium,Male
3106,yes,no,Medium,Male
3107,yes,no,Medium,Male
3108,yes,no,Medium,Male
3109,yes,no,Medium,Male
3110,yes,no,Medium,Male
3111,yes,no,Medium,Male
3112,yes,no,Medium,Male
3113,yes,no,Medium,Male
3114,yes,no,Medium,Male
3115,yes,no,Medium,Male
3116,yes,no,Medium,Male
3117,yes,no,Medium,Male
3118,yes,no,Medium,Male
3119,yes,no,Medium,Male
3120,yes,no,Medium,Male
3121,yes,no,Medium,Male
3122,yes,no,Medium,Male
3123,yes,no,Medium,Male
3124,yes,no,Medium,Male
3125,yes,no,Medium,Male
3126,yes,no,Medium,Male
3127,yes,no,Medium,Male
3128,yes,no,Medium,Male
3129,yes,no,Medium,Male
3130,yes,no,Medium,Male
3131,yes,no,Medium,Male
3132,yes,no,Medium,Male
3133,yes,no,Medium,Male
3134,yes,no,Medium,Male
3135,yes,no,Medium,Male
3136,yes,no,Medium,Male
3137,yes,no,Medium,Male
3138,yes,no,Medium,Male
3139,yes,no,Medium,Male
3140,yes,no,Medium,Male
3141,yes,no,Medium,Male
3142,yes,no,Medium,Male
3143,yes,no,Medium,Male
3144,yes,no,Medium,Male
3145,yes,no,Medium,Male
3146,yes,no,Medium,Male
3147,yes,no,Medium,Male
3148,yes,no,Medium,Male
3149,yes,no,Medium,Male
3150,yes,no,Medium,Male
3151,yes,no,Medium,Male
3152,yes,no,Medium,Male
3153,yes,no,Medium,Male
3154,yes,no,Medium,Male
3155,yes,no,Medium,Male
3156,yes,no,Medium,Male
3157,yes,no,Medium,Male
3158,yes,no,Medium,Male
3159,yes,no,Medium,Male
3160,yes,no,Medium,Male
3161,yes,no,Medium,Male
3162,yes,no,Medium,Male
3163,yes,no,Medium,Male
3164,yes,no,Medium,Male
3165,yes,no,Medium,Male
3166,yes,no,Medium,Male
3167,yes,no,Medium,Male
3168,yes,no,Medium,Male
3169,yes,no,Medium,Male
3203,yes,no,High,Male
3204,yes,no,High,Male
3205,yes,no,High,Male
3206,yes,no,High,Male
3207,yes,no,High,Male
3208,yes,no,High,Male
3209,yes,no,High,Male
3210,yes,no,High,Male
3211,yes,no,High,Male
3212,yes,no,High,Male
3213,yes,no,High,Male
3214,yes,no,High,Male
3215,yes,no,High,Male
3216,yes,no,High,Male
3217,yes,no,High,Male
3218,yes,no,High,Male
3219,yes,no,High,Male
3220,yes,no,High,Male
3221,yes,no,High,Male
3222,yes,no,High,Male
3223,yes,no,High,Male
3224,yes,no,High,Male
3225,yes,no,High,Male
3226,yes,no,High,Male
3227,yes,no,High,Male
3228,yes,no,High,Male
3229,yes,no,High,Male
3230,yes,no,High,Male
3231,yes,no,High,Male
3232,yes,no,High,Male
3233,yes,no,High,Male
3234,yes,no,High,Male
3235,yes,no,High,Male
3236,yes,no,High,Male
3237,yes,no,High,Male
3238,yes,no,High,Male
3239,yes,no,High,Male
3240,yes,no,High,Male
3241,yes,no,High,Male
3242,yes,no,High,Male
3243,yes,no,High,Male
3244,yes,no,High,Male
3245,yes,no,High,Male
3246,yes,no,High,Male
3247,yes,no,High,Male
3248,yes,no,High,Male
3249,yes,no,High,Male
3215,no,no,No/Low,Female
3216,no,no,No/Low,Female
3217,no,no,No/Low,Female
3218,no,no,No/Low,Female
3219,no,no,No/Low,Female
3220,no,no,No/Low,Female
3221,no,no,No/Low,Female
3222,no,no,No/Low,Female
3223,no,no,No/Low,Female
3224,no,no,No/Low,Female
3225,no,no,No/Low,Female
3226,no,no,No/Low,Female
3227,no,no,No/Low,Female
3228,no,no,No/Low,Female
3229,no,no,No/Low,Female
3230,no,no,No/Low,Female
3231,no,no,No/Low,Female
3232,no,no,No/Low,Female
3233,no,no,No/Low,Female
3234,no,no,No/Low,Female
3235,no,no,No/Low,Female
3236,no,no,No/Low,Female
3237,no,no,No/Low,Female
3238,no,no,No/Low,Female
3239,no,no,No/Low,Female
3240,no,no,No/Low,Female
3241,no,no,No/Low,Female
3242,no,no,No/Low,Female
3243,no,no,No/Low,Female
3244,no,no,No/Low,Female
3245,no,no,No/Low,Female
3246,no,no,No/Low,Female
3247,no,no,No/Low,Female
3248,no,no,No/Low,Female
3249,no,no,No/Low,Female
3250,no,no,No/Low,Female
3251,no,no,No/Low,Female
3252,no,no,No/Low,Female
3253,no,no,No/Low,Female
3254,no,no,No/Low,Female
3255,no,no,No/Low,Female
3256,no,no,No/Low,Female
3257,no,no,No/Low,Female
3258,no,no,No/Low,Female
3259,no,no,No/Low,Female
3260,no,no,No/Low,Female
3261,no,no,No/Low,Female
3262,no,no,No/Low,Female
3263,no,no,No/Low,Female
3264,no,no,No/Low,Female
3265,no,no,No/Low,Female
3266,no,no,No/Low,Female
3267,no,no,No/Low,Female
3268,no,no,No/Low,Female
3269,no,no,No/Low,Female
3270,no,no,No/Low,Female
3271,no,no,No/Low,Female
3272,no,no,No/Low,Female
3273,no,no,No/Low,Female
3274,no,no,No/Low,Female
3275,no,no,No/Low,Female
3276,no,no,No/Low,Female
3277,no,no,No/Low,Female
3278,no,no,No/Low,Female
3279,no,no,No/Low,Female
3280,no,no,No/Low,Female
3281,no,no,No/Low,Female
3282,no,no,No/Low,Female
3283,no,no,No/Low,Female
3284,no,no,No/Low,Female
3285,no,no,No/Low,Female
3286,no,no,No/Low,Female
3287,no,no,No/Low,Female
3288,no,no,No/Low,Female
3289,no,no,No/Low,Female
3290,no,no,No/Low,Female
3291,no,no,No/Low,Female
3292,no,no,No/Low,Female
3293,no,no,No/Low,Female
3294,no,no,No/Low,Female
3295,no,no,No/Low,Female
3296,no,no,No/Low,Female
3297,no,no,No/Low,Female
3298,no,no,No/Low,Female
3299,no,no,No/Low,Female
3300,no,no,No/Low,Female
3301,no,no,No/Low,Female
3302,no,no,No/Low,Female
3303,no,no,No/Low,Female
3304,no,no,No/Low,Female
3305,no,no,No/Low,Female
3306,no,no,No/Low,Female
3307,no,no,No/Low,Female
3308,no,no,No/Low,Female
3309,no,no,No/Low,Female
3310,no,no,No/Low,Female
3311,no,no,No/Low,Female
3312,no,no,No/Low,Female
3313,no,no,No/Low,Female
3314,no,no,No/Low,Female
3315,no,no,No/Low,Female
3316,no,no,No/Low,Female
3317,no,no,No/Low,Female
3318,no,no,No/Low,Female
3319,no,no,No/Low,Female
3320,no,no,No/Low,Female
3321,no,no,No/Low,Female
3322,no,no,No/Low,Female
3323,no,no,No/Low,Female
3324,no,no,No/Low,Female
3325,no,no,No/Low,Female
3326,no,no,No/Low,Female
3327,no,no,No/Low,Female
3328,no,no,No/Low,Female
3329,no,no,No/Low,Female
3330,no,no,No/Low,Female
3331,no,no,No/Low,Female
3332,no,no,No/Low,Female
3333,no,no,No/Low,Female
3334,no,no,No/Low,Female
3335,no,no,No/Low,Female
3336,no,no,No/Low,Female
3337,no,no,No/Low,Female
3338,no,no,No/Low,Female
3339,no,no,No/Low,Female
3340,no,no,No/Low,Female
3341,no,no,No/Low,Female
3342,no,no,No/Low,Female
3343,no,no,No/Low,Female
3344,no,no,No/Low,Female
3345,no,no,No/Low,Female
3346,no,no,No/Low,Female
3347,no,no,No/Low,Female
3348,no,no,No/Low,Female
3349,no,no,No/Low,Female
3350,no,no,No/Low,Female
3351,no,no,No/Low,Female
3352,no,no,No/Low,Female
3353,no,no,No/Low,Female
3354,no,no,No/Low,Female
3355,no,no,No/Low,Female
3356,no,no,No/Low,Female
3357,no,no,No/Low,Female
3358,no,no,No/Low,Female
3359,no,no,No/Low,Female
3360,no,no,No/Low,Female
3361,no,no,No/Low,Female
3362,no,no,No/Low,Female
3363,no,no,No/Low,Female
3364,no,no,No/Low,Female
3365,no,no,No/Low,Female
3366,no,no,No/Low,Female
3367,no,no,No/Low,Female
3368,no,no,No/Low,Female
3369,no,no,No/Low,Female
3370,no,no,No/Low,Female
3371,no,no,No/Low,Female
3372,no,no,No/Low,Female
3373,no,no,No/Low,Female
3374,no,no,No/Low,Female
3375,no,no,No/Low,Female
